Week commencing,"Queensland ($ per megawatt hour)","New South Wales ($ per megawatt hour)","Victoria ($ per megawatt hour)","South Australia ($ per megawatt hour)","Tasmania ($ per megawatt hour)"
08/06/2008,37,41,39,39,59
15/06/2008,35,37,38,39,57
22/06/2008,60,44,43,43,49
29/06/2008,27,31,32,34,24
06/07/2008,30,34,35,37,31
13/07/2008,23,29,32,34,14
20/07/2008,73,80,84,84,35
27/07/2008,36,39,39,41,52
03/08/2008,36,41,43,44,56
10/08/2008,47,51,53,54,63
17/08/2008,37,41,40,42,58
24/08/2008,33,38,38,40,53
31/08/2008,34,41,41,38,54
07/09/2008,27,37,37,33,53
14/09/2008,33,32,34,28,43
21/09/2008,35,39,43,35,42
28/09/2008,33,35,34,30,25
05/10/2008,33,34,36,32,34
12/10/2008,35,40,40,41,44
19/10/2008,35,38,41,41,58
26/10/2008,70,286,48,40,62
02/11/2008,42,41,44,35,63
09/11/2008,32,33,44,43,57
16/11/2008,64,27,31,30,46
23/11/2008,26,26,28,30,41
30/11/2008,34,28,27,27,37
07/12/2008,52,25,25,27,35
14/12/2008,26,23,23,26,33
21/12/2008,32,20,19,24,27
28/12/2008,27,24,19,20,30
04/01/2009,34,38,32,33,45
11/01/2009,51,87,41,441,63
18/01/2009,45,46,45,293,60
25/01/2009,53,68,619,693,194
01/02/2009,42,77,68,82,37
08/02/2009,54,53,22,23,37
15/02/2009,42,25,31,36,46
22/02/2009,27,27,26,34,42
01/03/2009,28,23,23,24,37
08/03/2009,23,23,25,28,36
15/03/2009,34,32,32,35,38
22/03/2009,24,25,24,27,37
29/03/2009,32,39,40,69,78
05/04/2009,27,29,32,33,70
12/04/2009,29,32,32,29,54
19/04/2009,34,36,36,34,49
26/04/2009,40,47,50,48,78
03/05/2009,31,33,38,38,55
10/05/2009,29,31,31,31,40
17/05/2009,28,30,30,31,73
24/05/2009,25,30,29,39,23
31/05/2009,28,36,38,42,92
07/06/2009,59,65,36,35,290
14/06/2009,25,28,29,32,405
21/06/2009,24,26,27,28,42
28/06/2009,26,30,24,24,21
05/07/2009,34,48,31,33,30
12/07/2009,29,31,31,32,30
19/07/2009,24,26,25,26,25
26/07/2009,26,28,25,27,24
02/08/2009,26,27,24,26,24
09/08/2009,24,25,24,26,23
16/08/2009,25,23,22,22,19
23/08/2009,22,25,24,25,24
30/08/2009,23,24,19,20,23
06/09/2009,27,28,25,36,20
13/09/2009,24,26,24,25,22
20/09/2009,24,25,24,27,22
27/09/2009,28,28,26,28,19
04/10/2009,32,32,30,32,26
11/10/2009,27,27,26,26,22
18/10/2009,25,27,24,26,29
25/10/2009,24,27,25,36,35
01/11/2009,57,71,26,84,30
08/11/2009,25,28,41,645,38
15/11/2009,187,315,51,442,35
22/11/2009,137,156,29,26,32
29/11/2009,23,24,24,23,32
06/12/2009,46,296,22,22,41
13/12/2009,45,198,30,33,32
20/12/2009,23,26,23,24,28
27/12/2009,23,24,24,26,26
03/01/2010,25,28,27,179,31
10/01/2010,29,52,280,420,33
17/01/2010,188,154,23,26,27
24/01/2010,36,30,27,28,29
31/01/2010,28,75,87,86,0
07/02/2010,30,98,206,628,35
14/02/2010,99,26,28,30,30
21/02/2010,25,65,28,28,29
28/02/2010,22,23,23,22,27
07/03/2010,33,22,21,20,24
14/03/2010,23,28,28,30,30
21/03/2010,24,34,23,24,26
28/03/2010,22,24,21,23,25
